category,term
variable,CEEENTIM
variable,CEENDTC
variable,CEENDY
variable,CEENINT
variable,CEENRF
variable,CEENRTPT
variable,CEENTPT
variable,CEESTTIM
variable,CEEVAL
variable,CEEVINTX
variable,CEGRPID
variable,CELAT
variable,CELNKGRP
variable,CELOC
variable,CEOCCUR
variable,CEOUT
variable,CEPATT
variable,CEPRESP
variable,CEREASND
variable,CEREFID
variable,CEREL
variable,CESCAN
variable,CESCAT
variable,CESCONG
variable,CESDISAB
variable,CESDTH
variable,CESENDAT
variable,CESENTIM
variable,CESEQ
variable,CESEV
variable,CESHOSP
variable,CESLIFE
variable,CESOD
variable,CESPID
variable,CESSCAT
variable,CESSTDAT
variable,CESSTTIM
variable,CESTAT
variable,CESTATUS
variable,CESTDTC
variable,CESTDY
variable,CESTINT
variable,CESTRF
variable,CESTRTPT
variable,CESTTPT
variable,CETERM
variable,CETOXGR
variable,CETPT
variable,CETPTNUM
variable,CETYP
variable,CEXFN
variable,CLONUS
variable,CMADJ
variable,CMBLPROD
variable,CMCAT
variable,CMCLAS
variable,CMCLASCD
variable,CMDECOD
variable,CMDECOD1
variable,CMDECOD2
variable,CMDECOD3
variable,CMDECOD4
variable,CMDECOD5
variable,CMDECOD6
variable,CMDECOD7
variable,CMDECOD8
variable,CMDOSE
variable,CMDOSFRM
variable,CMDOSFRQ
variable,CMDOSRGM
variable,CMDOSTOT
variable,CMDOSTXT
variable,CMDOSU
variable,CMDUR
variable,CMENDTC
variable,CMENDY
variable,CMENRF
variable,CMENRTPT
variable,CMENTPT
variable,CMEVLINT
variable,CMFLTRYN
variable,CMGRP
variable,CMGRPID
variable,CMINDC
variable,CMLNKGRP
variable,CMLOT
variable,CMMODIFY
variable,CMOCCUR
variable,CMPRESP
variable,CMREASND
variable,CMROUTE
variable,CMRSDISC
variable,CMSCAT
variable,CMSEQ
variable,CMSPID
variable,CMSTAT
variable,CMSTDTC
variable,CMSTDY
variable,CMSTRF
variable,CMSTRTPT
variable,CMSTTPT
variable,CMTRT
variable,CMVCDVER
variable,CODTC
variable,CODY
variable,COEVAL
variable,COEVALID
variable,COHORT
variable,COMPSPY
variable,COREF
variable,COSEQ
variable,COUNTRY
variable,COVAL
variable,CPABCLID
variable,CPANMETH
variable,CPBDAGNT
variable,CPBLFL
variable,CPCAT
variable,CPCELSTA
variable,CPCLSIG
variable,CPCNDAGT
variable,CPCOLSRT
variable,CPCSMRKS
variable,CPDRVFL
variable,CPDTC
variable,CPDY
variable,CPELTM
variable,CPGATDEF
variable,CPGATE
variable,CPGRPID
variable,CPLNKGRP
variable,CPLNKID
variable,CPLOBXFL
variable,CPLOINC
variable,CPMETHOD
variable,CPMRKSTR
variable,CPNAM
variable,CPNRIND
variable,CPORNRHI
variable,CPORNRLO
variable,CPORRES
variable,CPORRESU
variable,CPREASND
variable,CPREFID
variable,CPRESSCL
variable,CPRESTYP
variable,CPRFTDTC
variable,CPSBMRKS
variable,CPSCAT
variable,CPSEQ
variable,CPSPCCND
variable,CPSPEC
variable,CPSPID
variable,CPSPTSTD
variable,CPSTAT
variable,CPSTNRHI
variable,CPSTNRLO
variable,CPSTRESC
variable,CPSTRESN
variable,CPSTRESU
variable,CPTEST
variable,CPTESTCD
variable,CPTPT
variable,CPTPTNUM
variable,CPTPTREF
variable,CPTSTCND
variable,CPTSTPNL
variable,CRUNKIND
variable,CVBLFL
variable,CVCAT
variable,CVCLSIG
variable,CVDIR
variable,CVDRVFL
variable,CVDTC
variable,CVDY
variable,CVELTM
variable,CVEVAL
variable,CVEVALID
variable,CVGRPID
variable,CVLAT
variable,CVLNKGRP
variable,CVLNKID
variable,CVLOBXFL
variable,CVLOC
variable,CVMETHOD
variable,CVORRES
variable,CVORRESU
variable,CVPOS
variable,CVREASND
variable,CVREFID
variable,CVRFTDTC
variable,CVSCAT
variable,CVSEQ
variable,CVSPID
variable,CVSTAT
variable,CVSTRESC
variable,CVSTRESN
variable,CVSTRESU
variable,CVTEST
variable,CVTESTCD
variable,CVTPT
variable,CVTPTNUM
variable,CVTPTREF
variable,CVTSTDTL
variable,DACAT
variable,DADTC
variable,DADY
variable,DAGRPID
variable,DALNKGRP
variable,DALNKID
variable,DAORRES
variable,DAORRESU
variable,DAREASND
variable,DAREFID
variable,DASCAT
variable,DASEQ
variable,DASPID
variable,DASTAT
variable,DASTRESC
variable,DASTRESN
variable,DASTRESU
variable,DATEST
variable,DATESTCD
variable,DDDTC
variable,DDDY
variable,DDEVAL
variable,DDGRPID
variable,DDORRES
variable,DDREFID
variable,DDRESCAT
variable,DDSEQ
variable,DDSPID
variable,DDSTRESC
variable,DDTEST
variable,DDTESTCD
variable,DEACNDEV
variable,DECAT
variable,DEDECOD
variable,DEDTC
variable,DEDY
variable,DEENDTC
variable,DEENDY
variable,DEENRTPT
variable,DEENTPT
variable,DEMODIFY
variable,DEOCCUR
variable,DEPRESP
variable,DEREASND
variable,DERETURN
variable,DESCAT
variable,DESEQ
variable,DESEV
variable,DESPID
variable,DESTAT
variable,DESTDTC
variable,DESTDY
variable,DESTRTPT
variable,DESTTPT
variable,DETERM
variable,DIAGGRP
variable,DIPARM
variable,DIPARMCD
variable,DISEEXCB
variable,DISEQ
variable,DIVAL
variable,DMDTC
variable,DMDY
variable,DOCAT
variable,DOGRPID
variable,DOMAIN
variable,DOORRES
variable,DOORRESU
variable,DOREFID
variable,DOSCAT
variable,DOSEQ
variable,DOSPID
variable,DOTEST
variable,DOTESTCD
variable,DRGRECNO
variable,DRGSEQ1
variable,DRGSEQ2
variable,DSCAT
variable,DSCNT1SP
variable,DSCONT1
variable,DSCONTP
variable,DSDECOD
variable,DSDTC
variable,DSDY
variable,DSGRPID
variable,DSREFID
variable,DSSCAT
variable,DSSEQ
variable,DSSPID
variable,DSSTDTC
variable,DSSTDY
variable,DSTERM
variable,DTCAT
variable,DTDECOD
variable,DTDTC
variable,DTHDTC
variable,DTHFL
variable,DTMODIFY
variable,DTPARTY
variable,DTPRTYID
variable,DTSCAT
variable,DTSEQ
variable,DTSTDTC
variable,DTTERM
variable,DUCAT
variable,DUDTC
variable,DUDY
variable,DUGRPID
variable,DUORRES
variable,DUORRESU
variable,DUREFID
variable,DUSCAT
variable,DUSEQ
variable,DUSPID
variable,DUSTRESC
variable,DUSTRESN
variable,DUSTRESU
variable,DUTEST
variable,DUTESTCD
variable,DVCAT
variable,DVDECOD
variable,DVENDTC
variable,DVENDY
variable,DVEPRELI
variable,DVREFID
variable,DVSCAT
variable,DVSEQ
variable,DVSPID
variable,DVSTDTC
variable,DVSTDY
variable,DVTERM
variable,DXADJ
variable,DXCAT
variable,DXDOSE
variable,DXDOSFRQ
variable,DXDOSRGM
variable,DXDOSTOT
variable,DXDOSTXT
variable,DXDOSU
variable,DXDUR
variable,DXENDTC
variable,DXENDY
variable,DXGRPID
variable,DXLAT
variable,DXLOC
variable,DXMETHOD
variable,DXROUTE
variable,DXSCAT
variable,DXSEQ
variable,DXSPID
variable,DXSTDTC
variable,DXSTDY
variable,DXTRT
variable,ECACN
variable,ECADJ
variable,ECADJINT
variable,ECADJTYP
variable,ECAIBW
variable,ECAIBWUN
variable,ECBATCH
variable,ECBSA
variable,ECBSAUN
variable,ECCAT
variable,ECCOMPTE
variable,ECDIR
variable,ECDOSADJ
variable,ECDOSE
variable,ECDOSFRM
variable,ECDOSFRQ
variable,ECDOSRGM
variable,ECDOSTOT
variable,ECDOSTXT
variable,ECDOSU
variable,ECDUR
variable,ECELTM
variable,ECENDTC
variable,ECENDY
variable,ECFAST
variable,ECFGBTCH
variable,ECFLRT
variable,ECFLRTU
variable,ECGRPID
variable,ECLAT
variable,ECLNKGRP
variable,ECLNKID
variable,ECLOC
variable,ECLOT
variable,ECMETHOD
variable,ECMOOD
variable,ECOCCUR
variable,ECPORTOT
variable,ECPRESP
variable,ECPSTRG
variable,ECPSTRGU
variable,ECREASOC
variable,ECREFID
variable,ECRFTDTC
variable,ECROUTE
variable,ECSCAT
variable,ECSEQ
variable,ECSETTNG
variable,ECSPID
variable,ECSTDTC
variable,ECSTDY
variable,ECTPT
variable,ECTPTNUM
variable,ECTPTREF
variable,ECTRT
variable,ECVAMT
