Classification,Name,Pages,PageCount,Category,RawTexts
Variable,CMDOSTXT,"27,53",2,standard_variable,CMDOSTXT
Variable,CMDOSU,"27,53",2,standard_variable,CMDOSU
Variable,CMENDTC,"29,55",2,standard_variable,CMENDTC
Variable,CMENRTPT,55,1,standard_variable,CMENRTPT
Variable,CMINDAE1,55,1,standard_variable,QNAM=CMINDAE1 in SUPPCM
Variable,CMINDAE2,55,1,standard_variable,QNAM=CMINDAE2 in SUPPCM
Variable,CMINDAE3,55,1,standard_variable,QNAM=CMINDAE3 in SUPPCM
Variable,CMINDC,"29,55",2,standard_variable,CMINDC
Variable,CMINDMH1,55,1,standard_variable,QNAM=CMINDMH1 in SUPPCM
Variable,CMINDMH2,55,1,standard_variable,QNAM=CMINDMH2 in SUPPCM
Variable,CMINDMH3,55,1,standard_variable,QNAM=CMINDMH3 in SUPPCM
Variable,CMROUTE,"28,29,54,55",4,standard_variable,CMROUTE
Variable,CMSTDTC,"29,55",2,standard_variable,CMSTDTC
Variable,CMSTRTPT,55,1,standard_variable,CMSTRTPT
Variable,CMTRT,"27,53",2,standard_variable,CMTRT
Variable,COUNTRY,13,1,standard_variable,COUNTRY
Variable,CRITERIA,17,1,standard_variable,DSTERM when VOLUNTARY WITHDRAWAL or OTHER or INC/EXC CRITERIA
Variable,DDORRES,51,1,standard_variable,DDORRES when DDTESTCD=GENCDTH | DDORRES when DDTESTCD=AUTOPIND | DDORRES when DDTESTCD=DTHCOIND
Variable,DDSPID,51,1,standard_variable,DDSPID
Variable,DDTESTCD,51,1,standard_variable,DDORRES when DDTESTCD=GENCDTH | DDORRES when DDTESTCD=AUTOPIND | DDORRES when DDTESTCD=DTHCOIND
Variable,DDTESTCD=AUTOPIND,51,1,standard_variable,DDTESTCD=AUTOPIND
Variable,DDTESTCD=DTHCOIND,51,1,standard_variable,DDTESTCD=DTHCOIND
Variable,DDTESTCD=GENCDTH,51,1,standard_variable,DDTESTCD=GENCDTH
Variable,DEGREES,"19,22",2,standard_variable,FAOBJ=FEVER OVER 37.8 DEGREES CELSIUS
